GEOID20,population
420912078003020A,2
420912078002006A,0
420912078002002B,20
420912025002022B,28
420912061062012A,238
420912061062006A,199
420912033022027B,26
420912018001015A,84
420912078002004A,94
420912003072002B,67
420912033022003A,67
420912033022021A,76
420912033022024A,30
420912003072001A,16
420912032032025B,0
420912033022010A,250
420912003017026A,0
420912087041000B,158
420912005073006B,224
420912061041008B,254
420912061062010B,0
420912049003011A,276
420912078002001B,86
420912019024010B,30
420912105003007A,551
420912105003010A,66
420912026022000B,33
420912016072017B,26
420912033031001A,8
420912003017006A,26
420912061042001A,137
420912003092014A,36
420912078002003B,6
420912033021010A,117
420912078004002A,0
420912086041002B,72
420912078002004B,0
420912061042001B,21
420912033021010B,74
420912033022019A,51
420912078002003A,6
420912078004037A,3
420912003017031A,23
420912032032025A,59
420912086041002A,7
420912105003007B,2
420912105003010B,3
420912078004030A,3
420912078004037B,11
420912087041000A,1
420912078004030B,74
420912078002006B,0
420912078002002A,0
420912078002001A,0
420912061062006B,46
420912061062010A,0
420912061041008A,0
420912078003020B,4
420912033031001B,72
420912078004002B,40
420912033022024B,25
420912033022027A,32
420912033022010B,10
420912003017006B,36
420912003017031B,7
420912003072002A,86
420912033022019B,2
420912033022003B,20
420912033022021B,19
420912025002022A,3
420912003092014B,33
420912005073006A,3
420912049003011B,12
420912019024010A,4
420912061062012B,4
420912016072017A,6
420912087041000C,2
420912018001015B,10
420912026022000A,8
420912003072001B,0
420912003017026B,0
421019809011000B,7
421019809011007B,0
421010341003001B,181
421010255001004A,61
421010207012008B,0
421010257002008B,40
421010119002007B,335
421010207011009A,175
421019809013009A,0
421019809013016B,0
421019804001000B,0
421010207011002B,23
421019809011005B,0
421010207011009B,23
421010207011002A,14
421010207012008A,0
421019809011000A,0
421019809011007A,0
421019809013009B,0
421019809013016A,0
421019804001000A,0
421019809011005A,0
421010257002008A,0
421010341003001A,34
421010255001004B,27
421010119002007A,11
