GEOID20,District
420350303003021,14
420990306014081,13
420990306021095,13
420990305011016,13
420990304001026,13
420990306014018,13
420990306014015,13
420990306014049,13
420990305022026,13
420990306013046,13
420035130002025,9
420035638006006,16
420034340001003,16
420034142001020,16
420076048002004,16
420076026013008,16
420076049021003,16
420076021002033,16
420076050011004,16
420076046003009,16
420990303015020,13
420990304003018,13
420990306011010,13
420990305021046,13
420990305022007,13
420990305024061,13
420990305024038,13
420990302024029,13
420076051004056,16
420076032022021,16
420076032023008,16
420076014003010,16
420076045002025,16
420076048003014,16
420076055004022,16
420076054003009,16
420076046001005,16
420990304002024,13
420990306022112,13
420990303022008,13
420990303023017,13
420990301003096,13
420990306022066,13
420076021001014,16
420076052001007,16
420076057002010,16
420076033002033,16
420076055004005,16
420076010001011,16
420076027011003,16
420076026022008,16
420076058002010,16
420076033002042,16
420076058001010,16
420076053001038,16
420076034002013,16
420076041002011,16
420076051003035,16
420030103022036,9
420034890012005,9
420035261021013,9
420034135002016,16
420035520001006,9
420031914002015,16
420034753013010,16
420034753012003,16
420034753044009,16
420034928002044,9
420034868002002,9
420031915001031,16
420670703002004,13
420076025001046,16
420076021001074,16
420076037003006,16
420076057003004,16
420076057003005,16
420034550001022,16
420034911013017,9
420034911013011,9
420035648002004,9
420030405001021,9
420035631001031,16
420032614001016,16
420031401001010,9
420034100001004,16
420035519001095,9
420035626002035,16
420031610001003,9
420034911011002,9
420034688001018,16
420034656001006,16
420035625001042,16
420076025001038,16
420076028003009,16
420076027011007,16
420076027023022,16
420076038031012,16
420076016002024,16
420076035001011,16
420035626002068,16
420035520002001,9
420035626001017,16
420034150012002,9
420034141014001,16
420035252002003,9
420034212003005,9
420010307001017,8
420010303002052,8
420010303002051,8
421179509002109,14
421179508003028,14
421179503003009,14
420670702012022,13
421179506001018,12
421179510002089,12
421179510001079,12
420670701012018,13
420670701012044,13
420670702024038,13
420670701012002,13
420670702012039,13
420034912001021,9
420034230002009,9
420034297001014,16
420032708002011,16
420034134003002,16
420031609001004,9
420034610001014,16
420034690002025,16
420031608001015,9
420031918003002,16
420032904002008,9
420035631002011,16
420034900023004,9
420035630002003,16
420030509001016,9
420030605001010,9
420034890012003,9
420030806001010,9
420031014001020,9
420031917001001,16
420035521001020,9
420035261012042,9
420035231001016,9
420034520003026,16
420035030021031,9
420034644002043,16
420031106003009,9
420034621001013,16
420010308011002,8
420010314022071,8
420010302001111,8
420010304003023,8
421179501004021,14
420550110004005,13
420550105023014,13
420550107013066,13
420550104012009,13
420550105011013,13
421279603002042,11
421279610023014,11
420010301041031,8
420010309011025,8
420010312013055,8
420010306003013,8
420010312022020,8
420010302001090,8
420010303002078,8
420010302002034,8
420010315023039,8
420010316005060,8
420010303001021,8
420010311012038,8
420010311012023,8
420010311011018,8
421139601011075,12
421139601023056,12
420670703001097,13
420670704002030,13
420670703001000,13
420659508002072,14
420659507001003,14
420659508002054,14
420659507003055,14
421179507004041,14
420550123003002,13
420550124002021,13
420550105011030,13
420293071001048,4
420293035021008,4
420670702021111,13
420311606005049,14
420730007002020,17
420730109003014,17
420730101001021,17
420730110002000,17
420730112001013,17
420730007002027,17
420730001002031,17
420730113001081,17
420730113002018,17
420730110001012,17
421179509004039,14
420311608001066,14
420311604001074,14
420311604001062,14
420311608003028,14
420311602022040,14
420619509001033,13
420619512004048,13
420619512001075,13
420010302002052,8
420010317001071,8
420010304003053,8
420550122002014,13
420550105012023,13
420550105023033,13
420550121003001,13
420550121003011,13
420550101001035,13
420619509002015,13
420619503011001,13
420619502003015,13
421179501004036,14
420110112003006,6
420110102011049,12
420110102011025,12
420110126002010,6
420110002003010,6
420110109051026,6
420010301042028,8
420010301042069,8
420010303001070,8
420010309011005,8
420010311012027,8
420010303001019,8
421279610022006,11
420550118003017,13
420550115001017,13
420550108001017,13
420550118003035,13
420550114001016,13
420550125011014,13
420550109001049,13
420550117013010,13
420659502003023,14
420659509002062,14
421279613001071,11
420311605003080,14
420659506001028,14
420311608002125,14
420311602022036,14
421314004002038,12
421314002003080,12
421314007002040,12
421314002003017,12
421314006001010,12
421279606002014,11
421279613001112,11
421279605004002,11
421279613002059,11
421279612021044,11
421279609004035,11
420792123003022,11
420792175002031,11
420792162002028,11
420792015001017,11
420792164002023,11
420792120002012,11
420792165023025,11
420792153003033,11
420792142002011,11
420792159002048,12
420550113012022,13
420550103022017,13
421279611011026,11
420311603003060,14
420659502003008,14
420659503005033,14
420792166011010,11
420792177003055,11
421010203001013,2
421010023001000,1
421010149002000,1
421010144004007,1
421010264001010,2
421010266001016,2
421010082006008,1
421010321002002,2
421010188022007,2
421010188013006,2
421010067003016,1
421010344002005,2
421010263021004,2
421010019003010,1
421019800021087,1
421010355001009,5
420311608002127,14
420311605003012,14
420311603001046,14
420311603002057,14
420311608003073,14
420311608002059,14
421010169023002,1
421010030013001,1
421010030014004,1
421010019001004,1
421010363011019,5
421010100002003,1
421010114001007,1
421010114006013,1
421010134023004,1
421010134023003,1
421010214003002,2
421010136012008,1
421010105002018,1
420110103042014,6
420110103043025,6
420110109031041,6
420110125001013,6
421010384001001,2
421010319001002,2
421010175006010,1
420730113001098,17
420730114002037,17
420792171002037,11
421010198003001,2
421010201023008,2
421010004011006,1
421010100001008,1
421010067004011,1
421019802001031,2
421010140003013,1
421010284001000,2
421010025001000,1
421010365011001,5
421010380002014,2
420792149001003,11
420792167002000,11
420792118002019,11
420792169001036,11
420792169001046,11
420792016003003,11
420792171002012,11
420792171002044,11
420792166021039,11
420792166021043,11
420410111013007,8
420410131033021,13
420730101001008,17
420730109002044,17
420730007001036,17
420730116003060,17
420792016001003,11
420792117013026,11
420792143002002,11
420792155011046,11
420792117011014,11
420792117011047,11
420792166021001,11
420792149002006,11
420792007002007,11
420792113021018,12
420032613002009,16
420032615001012,16
420032613002014,16
420031308001032,9
420034110011015,16
420034110022021,16
420034390001004,16
420031706002000,9
420039807001027,16
420035140002015,9
420031005002006,9
420035251001020,9
420031414004012,9
420034911012015,9
420034644002051,16
420792170021020,11
420619510001040,13
420619504003027,13
420619502001009,13
420619505003027,13
420619506002013,13
420619502002010,13
420035237021005,9
420031018002021,9
420035522001028,9
420035231004016,9
420035624003061,9
420032814001025,16
420034753042001,16
420034742021003,16
420031411001024,9
420034688003004,16
420034012001001,9
420034090014003,16
420035645001007,9
420031608001033,9
420034271002015,16
420579602002064,13
420619501002012,13
420730105003000,17
420730105002008,17
420730107002000,17
420730009002045,17
420730101004010,17
420293010012038,6
420293027061008,6
420293027051012,6
420293026001026,6
420293027063034,6
420293111001011,4
420293045042003,6
420034734023001,16
420032701001026,16
420034263003011,16
420730111004075,17
420730111002010,17
420730114001039,17
420730103001009,17
420535302001145,14
420730115001021,17
420730115003012,17
420730115004026,17
420730110004001,17
420730110001008,17
420730113003028,17
420730009002055,17
420730111004064,17
420730115002053,17
420730008002037,17
420730115001022,17
420792158002004,12
420792009002000,11
420792001001008,11
420792153003021,11
420792117012025,11
420792105001040,11
420792111011021,11
420792162005017,12
420792122003007,11
420792121004006,11
420792177002026,11
420034211002004,9
420035094005009,9
420311604001004,14
420311609003068,14
420311607011003,14
420311608002090,14
420311608002138,14
420659506003061,14
420659513002046,14
420659509004014,14
420311605003040,14
420311601042024,14
420659506003049,14
420659508001061,14
420659506001049,14
421010274012000,2
421314004001027,12
420579602002026,13
420293072001052,4
420792179003026,11
420792179004039,11
420792161003015,12
420792105002023,11
420792168001019,11
420792113012010,12
420792112045006,12
420792122001002,11
420792004001022,11
420792007003000,11
420792150001028,11
420792002001002,11
420311608001032,14
420311608002139,14
420311608002068,14
420311602012002,14
420311606004013,14
420659509002065,14
420659511004016,14
420659503001069,14
420750035003030,13
420750001004009,13
420750003001021,13
420750002001027,13
420750002004029,13
420750042002009,13
420750023002080,13
420750002002001,13
420750027012009,13
420750027012012,13
420750029001036,13
420750005001052,13
420750031003053,13
420750027013009,13
420750001002017,13
420792139001034,11
420792132002009,11
420792175001047,11
420792113042005,12
420099609004028,15
421139601022010,12
420659506001071,14
420659509002071,14
420792156001010,11
420619511002040,13
420619504001032,13
420099607004013,13
420099608004026,13
420099604004040,13
420099609001088,13
420099606001009,13
420099602001044,13
420099605002062,13
420099605002047,13
420293034022005,4
420619512002009,13
420619504004050,13
420619510001060,13
420619504001004,13
420099601002055,13
420099601001007,13
420099601002005,13
421179504004103,14
421179505003050,12
420293078002037,4
420293056002011,4
420293028022012,6
420619512001011,13
420619512001023,13
420619510003032,13
420619513002081,13
420619506002025,13
420770060021057,10
421059505001025,14
421059504021009,14
420293060005003,4
420293001074012,6
420293112002062,4
420293065032013,4
420293043003005,6
420293111001029,4
420579603002005,13
420410118062017,8
420410128021023,13
420293005012008,6
420293079002018,4
