GEOID20,District
420350303003021,5
420990306014081,6
420990306021095,6
420990305011016,6
420990304001026,6
420990306014018,6
420990306014015,6
420990306014049,6
420990305022026,6
420990306013046,6
420035130002025,1
420035638006006,2
420034340001003,2
420034142001020,2
420076048002004,2
420076026013008,2
420076049021003,2
420076021002033,2
420076050011004,2
420076046003009,2
420990303015020,6
420990304003018,6
420990306011010,6
420990305021046,6
420990305022007,6
420990305024061,6
420990305024038,6
420990302024029,6
420076051004056,2
420076032022021,2
420076032023008,2
420076014003010,2
420076045002025,2
420076048003014,2
420076055004022,2
420076054003009,2
420076046001005,2
420990304002024,6
420990306022112,6
420990303022008,6
420990303023017,6
420990301003096,6
420990306022066,6
420076021001014,2
420076052001007,2
420076057002010,2
420076033002033,2
420076055004005,2
420076010001011,2
420076027011003,2
420076026022008,2
420076058002010,2
420076033002042,2
420076058001010,2
420076053001038,2
420076034002013,2
420076041002011,2
420076051003035,2
420030103022036,1
420034890012005,1
420035261021013,2
420034135002016,2
420035520001006,1
420031914002015,1
420034753013010,2
420034753012003,2
420034753044009,2
420034928002044,1
420034868002002,1
420031915001031,1
420670703002004,6
420076025001046,2
420076021001074,2
420076037003006,2
420076057003004,2
420076057003005,2
420034550001022,2
420034911013017,1
420034911013011,1
420035648002004,1
420030405001021,1
420035631001031,1
420032614001016,1
420031401001010,1
420034100001004,2
420035519001095,1
420035626002035,1
420031610001003,1
420034911011002,1
420034688001018,1
420034656001006,1
420035625001042,1
420076025001038,2
420076028003009,2
420076027011007,2
420076027023022,2
420076038031012,2
420076016002024,2
420076035001011,2
420035626002068,1
420035520002001,1
420035626001017,1
420034150012002,2
420034141014001,2
420035252002003,1
420034212003005,2
420010307001017,8
420010303002052,8
420010303002051,8
421179509002109,7
421179508003028,7
421179503003009,7
420670702012022,6
421179506001018,7
421179510002089,7
421179510001079,7
420670701012018,6
420670701012044,6
420670702024038,6
420670701012002,6
420670702012039,6
420034912001021,1
420034230002009,1
420034297001014,2
420032708002011,1
420034134003002,2
420031609001004,1
420034610001014,2
420034690002025,1
420031608001015,1
420031918003002,1
420032904002008,1
420035631002011,1
420034900023004,1
420035630002003,1
420030509001016,1
420030605001010,1
420034890012003,1
420030806001010,1
420031014001020,1
420031917001001,1
420035521001020,1
420035261012042,2
420035231001016,1
420034520003026,2
420035030021031,1
420034644002043,1
420031106003009,1
420034621001013,2
420010308011002,8
420010314022071,8
420010302001111,8
420010304003023,8
421179501004021,7
420550110004005,6
420550105023014,6
420550107013066,6
420550104012009,6
420550105011013,6
421279603002042,17
421279610023014,17
420010301041031,8
420010309011025,8
420010312013055,8
420010306003013,8
420010312022020,8
420010302001090,8
420010303002078,8
420010302002034,8
420010315023039,8
420010316005060,8
420010303001021,8
420010311012038,8
420010311012023,8
420010311011018,8
421139601011075,7
421139601023056,7
420670703001097,6
420670704002030,6
420670703001000,6
420659508002072,5
420659507001003,5
420659508002054,5
420659507003055,5
421179507004041,7
420550123003002,6
420550124002021,6
420550105011030,6
420293071001048,10
420293035021008,10
420670702021111,6
420311606005049,5
420730007002020,4
420730109003014,4
420730101001021,4
420730110002000,4
420730112001013,4
420730007002027,4
420730001002031,4
420730113001081,4
420730113002018,4
420730110001012,4
421179509004039,7
420311608001066,5
420311604001074,5
420311604001062,5
420311608003028,5
420311602022040,5
420619509001033,6
420619512004048,6
420619512001075,6
420010302002052,8
420010317001071,8
420010304003053,8
420550122002014,6
420550105012023,6
420550105023033,6
420550121003001,6
420550121003011,6
420550101001035,6
420619509002015,6
420619503011001,6
420619502003015,6
421179501004036,7
420110112003006,15
420110102011049,16
420110102011025,16
420110126002010,15
420110002003010,15
420110109051026,15
420010301042028,8
420010301042069,8
420010303001070,8
420010309011005,8
420010311012027,8
420010303001019,8
421279610022006,17
420550118003017,6
420550115001017,6
420550108001017,6
420550118003035,6
420550114001016,6
420550125011014,6
420550109001049,6
420550117013010,6
420659502003023,5
420659509002062,5
421279613001071,17
420311605003080,5
420659506001028,5
420311608002125,5
420311602022036,5
421314004002038,7
421314002003080,7
421314007002040,7
421314002003017,7
421314006001010,7
421279606002014,17
421279613001112,17
421279605004002,17
421279613002059,17
421279612021044,17
421279609004035,17
420792123003022,7
420792175002031,16
420792162002028,7
420792015001017,7
420792164002023,16
420792120002012,7
420792165023025,16
420792153003033,7
420792142002011,7
420792159002048,7
420550113012022,6
420550103022017,6
421279611011026,17
420311603003060,5
420659502003008,5
420659503005033,5
420792166011010,7
420792177003055,16
421010203001013,12
421010023001000,12
421010149002000,12
421010144004007,12
421010264001010,13
421010266001016,13
421010082006008,12
421010321002002,12
421010188022007,12
421010188013006,12
421010067003016,11
421010344002005,13
421010263021004,13
421010019003010,12
421019800021087,12
421010355001009,13
420311608002127,5
420311605003012,5
420311603001046,5
420311603002057,5
420311608003073,5
420311608002059,5
421010169023002,12
421010030013001,11
421010030014004,11
421010019001004,12
421010363011019,13
421010100002003,12
421010114001007,12
421010114006013,12
421010134023004,12
421010134023003,12
421010214003002,13
421010136012008,12
421010105002018,12
420110103042014,15
420110103043025,15
420110109031041,15
420110125001013,15
421010384001001,13
421010319001002,12
421010175006010,12
420730113001098,4
420730114002037,4
420792171002037,16
421010198003001,12
421010201023008,12
421010004011006,12
421010100001008,12
421010067004011,11
421019802001031,13
421010140003013,12
421010284001000,13
421010025001000,12
421010365011001,13
421010380002014,12
420792149001003,7
420792167002000,16
420792118002019,7
420792169001036,16
420792169001046,16
420792016003003,7
420792171002012,16
420792171002044,16
420792166021039,7
420792166021043,7
420410111013007,6
420410131033021,6
420730101001008,4
420730109002044,4
420730007001036,4
420730116003060,4
420792016001003,7
420792117013026,7
420792143002002,7
420792155011046,7
420792117011014,7
420792117011047,7
420792166021001,7
420792149002006,7
420792007002007,7
420792113021018,7
420032613002009,1
420032615001012,1
420032613002014,1
420031308001032,1
420034110011015,2
420034110022021,2
420034390001004,2
420031706002000,1
420039807001027,1
420035140002015,1
420031005002006,1
420035251001020,1
420031414004012,1
420034911012015,1
420034644002051,1
420792170021020,16
420619510001040,6
420619504003027,6
420619502001009,6
420619505003027,6
420619506002013,6
420619502002010,6
420035237021005,1
420031018002021,1
420035522001028,1
420035231004016,1
420035624003061,1
420032814001025,1
420034753042001,2
420034742021003,2
420031411001024,1
420034688003004,1
420034012001001,2
420034090014003,2
420035645001007,1
420031608001033,1
420034271002015,2
420579602002064,6
420619501002012,6
420730105003000,4
420730105002008,4
420730107002000,4
420730009002045,4
420730101004010,4
420293010012038,10
420293027061008,10
420293027051012,10
420293026001026,10
420293027063034,10
420293111001011,10
420293045042003,10
420034734023001,1
420032701001026,1
420034263003011,2
420730111004075,4
420730111002010,4
420730114001039,4
420730103001009,4
420535302001145,5
420730115001021,4
420730115003012,4
420730115004026,4
420730110004001,4
420730110001008,4
420730113003028,4
420730009002055,4
420730111004064,4
420730115002053,4
420730008002037,4
420730115001022,4
420792158002004,7
420792009002000,7
420792001001008,7
420792153003021,7
420792117012025,7
420792105001040,7
420792111011021,7
420792162005017,7
420792122003007,7
420792121004006,7
420792177002026,16
420034211002004,2
420035094005009,1
420311604001004,5
420311609003068,5
420311607011003,5
420311608002090,5
420311608002138,5
420659506003061,5
420659513002046,5
420659509004014,5
420311605003040,5
420311601042024,5
420659506003049,5
420659508001061,5
420659506001049,5
421010274012000,13
421314004001027,7
420579602002026,6
420293072001052,10
420792179003026,16
420792179004039,16
420792161003015,7
420792105002023,7
420792168001019,16
420792113012010,7
420792112045006,7
420792122001002,7
420792004001022,7
420792007003000,7
420792150001028,7
420792002001002,7
420311608001032,5
420311608002139,5
420311608002068,5
420311602012002,5
420311606004013,5
420659509002065,5
420659511004016,5
420659503001069,5
420750035003030,9
420750001004009,9
420750003001021,9
420750002001027,9
420750002004029,9
420750042002009,9
420750023002080,9
420750002002001,9
420750027012009,9
420750027012012,9
420750029001036,9
420750005001052,9
420750031003053,9
420750027013009,9
420750001002017,9
420792139001034,7
420792132002009,7
420792175001047,16
420792113042005,7
420099609004028,6
421139601022010,7
420659506001071,5
420659509002071,5
420792156001010,7
420619511002040,6
420619504001032,6
420099607004013,6
420099608004026,6
420099604004040,6
420099609001088,6
420099606001009,6
420099602001044,6
420099605002062,6
420099605002047,6
420293034022005,10
420619512002009,6
420619504004050,6
420619510001060,6
420619504001004,6
420099601002055,6
420099601001007,6
420099601002005,6
421179504004103,7
421179505003050,7
420293078002037,10
420293056002011,10
420293028022012,10
420619512001011,6
420619512001023,6
420619510003032,6
420619513002081,6
420619506002025,6
420770060021057,16
421059505001025,5
421059504021009,5
420293060005003,10
420293001074012,10
420293112002062,10
420293065032013,10
420293043003005,10
420293111001029,10
420579603002005,6
420410118062017,6
420410128021023,6
420293005012008,10
420293079002018,10
420293078002013,10
420293117021020,10
420293026002030,10
420293118001005,10
420099611004004,6
420099608004039,6
420099603001007,6
420792105001029,7
420410130001018,6
420410116063015,6
420410118032023,6
420293001061006,10
420293038043012,10
420293055001034,10
420293078001022,10
420293002012038,10
421139601011078,7
420792112041020,7
420792113011005,7
420792167002068,16
420792112011019,7
420619501001042,6
421010344003016,13
421010323003006,13
421010289022001,13
421010003001001,12
421010019002011,12
420770020002007,16
420770056024063,16
420770060021043,16
420770021002015,16
420792106001024,7
420792122005016,7
420792178001052,16
420792013001003,7
420792014001004,7
420792142001010,7
420792143001019,7
420792159001014,7
420792159001030,7
420792101001071,7
420792112013007,7
420792113021016,7
420792169001033,16
420792167002022,16
421139601021034,7
420792011001009,7
420792103001015,7
420792167002034,16
420792122003015,7
420792123003007,7
420792173003032,16
420792110004033,7
420792173002020,16
421010171003031,12
421010040013011,11
421010249004005,13
421010012011005,12
421010288001011,12
421139601011023,7
420792145002006,7
420893003151049,17
420893010021037,17
420893005022014,17
420099606001062,6
420099610011090,6
421059504021041,5
420619509003029,6
420619508003017,6
420619503013011,6
420619503012050,6
420792162003007,7
420792157021070,7
420792112052014,7
420792117011009,7
420792127004010,7
420792111013028,7
420792122002005,7
420792158001034,7
420110127021020,15
420110140001051,16
420350308003060,5
420350301001188,5
420350301002191,5
420350309001022,5
420350308002019,5
421179502001047,7
421179506003029,7
421179506003020,7
420099601002062,6
420099601001036,6
420099604002008,6
420099604002036,6
420792139001018,7
420350309002018,5
420350305004019,5
420350309001047,5
420350301001173,5
420350301002268,5
420350301001111,5
420350304001013,5
420350307016013,5
420110129022063,15
420110014003000,15
421179505002014,7
421010191001011,12
421010383011017,12
421010010022005,12
420293014012010,10
420293044042008,10
420293069001034,10
420293082002044,10
420293110005001,10
420293065041009,10
420293021032009,10
420293008001023,10
420893003131047,17
420893012073016,17
421010167012007,12
421010290001002,13
421010210001008,13
421010355002016,13
421010265004002,13
421010013023001,12
420410130003023,6
420410119012007,6
420792149002024,7
420792103001019,7
420792006001008,7
420792169001029,16
420792164001022,16
420792162001010,7
420792157021010,7
420792114002023,7
420792101001023,7
420792127002009,7
420792112011005,7
420792001002018,7
420792139002037,7
420792171003021,16
420792121004001,7
420792150002004,7
420792158002025,7
420792180002016,7
420110009001012,15
421179501001007,7
421179504004019,7
420730109002012,4
420730116001010,4
420750025002007,9
420619501002011,6
420619501002023,6
420350307016022,5
420350305002036,5
420350304001052,5
420110116011031,15
420110101002070,16
420110120044012,15
420293002011003,10
421010366003003,12
421010355002029,13
421010238002002,13
421010252005005,13
421010037013008,11
421010330002005,13
421010330005001,13
421010365012000,13
421010166001006,12
421010347023000,13
421010283004018,12
421010283005004,12
421010213004002,13
421010267001019,13
421010207011015,12
420350305001017,5
420350301002227,5
420750023001070,9
420750020001013,9
420750023002103,9
420750004021032,9
420750004013027,9
420750021001060,9
420750027021018,9
420110126002027,15
420110001005002,15
420110133021007,15
420110107011029,15
420110003002002,15
420110104022000,16
420110114002039,15
420110116021015,15
420110104011035,16
420750032002035,9
421314007003017,7
421010202001006,12
421010289024003,12
421010287002011,12
421010064003006,11
421010160011011,12
421010008032004,12
421010019001006,12
421010028011012,12
421010287001007,12
421010115001004,12
421010240001000,13
420350309004050,5
420350308001000,5
420350304001024,5
420350301002220,5
420350305002034,5
420350305002090,5
420350308003019,5
420350302005056,5
421314004003006,7
420410106002009,6
420454030021001,11
420454013022009,11
420810110003019,7
420810110004015,7
420810114002027,7
420810107005002,7
420293118002013,10
420293007003030,10
420293053005015,10
420110134022020,15
420110004001006,15
420110121072024,15
420110140002011,16
420110102021016,16
420110120042003,15
420810116041032,7
420810116043033,7
420099610012027,6
420293007001025,10
421010362033012,13
421010174002001,12
421010214003000,13
420639611032022,5
420639619003085,5
420639621001000,5
420639612001015,5
420639616003030,5
420639621002001,5
420639616001047,5
420639602001108,5
420110109023017,15
420099609003026,6
420099610012026,6
420099609001121,6
420099601003071,6
420893014031010,17
420893002014011,17
420893004013030,17
420893003193003,17
420893003191006,17
420893005012013,17
420410125011010,6
420410131031025,6
420410125011018,6
420099610012063,6
420639602004075,5
420639619004000,5
420639613002056,5
420639619001003,5
420639616003049,5
420639619002018,5
420639602004010,5
420639618002069,5
420639613002091,5
420750027011026,9
420750039012061,9
420750022002027,9
420750031003025,9
420750022003028,9
420750023001056,9
420750034001025,9
420750029002054,9
420750004013010,9
420099604003039,6
420099604002032,6
420770063021004,16
420770060012058,16
420770094001054,16
420770062041028,16
420770015023008,16
420770061022027,16
420770015023017,16
420770063054016,16
420770057021067,16
420770005001051,16
420770061011008,16
420770014013007,16
420770054023021,16
420770001021014,16
420770056011042,16
420770001023015,16
420770068003029,16
420770067015014,16
420770015021012,16
420893012043036,17
420893013022027,17
420893012032019,17
420893002042024,17
420893002014004,17
420893003112032,17
420893003122032,17
420893001012041,17
420893003121047,17
420893003141016,17
420893013041060,17
420893003123043,17
420893001032016,17
420893006003014,17
420893004061016,17
421179506001002,7
420293074002038,10
420293110004026,10
420293080001001,10
420893013033023,17
420639601003021,5
420293029012009,10
420293113001036,10
420293001083001,10
420293045031002,10
420293031002020,10
420770069032002,16
420770093003001,16
420770018004005,16
420770067034005,16
420770060014018,16
420770055042019,16
420770063023016,16
420770063021025,16
420770015024008,16
420770004002019,16
420770004001025,16
420770004001036,16
420770008002004,16
421330210201019,8
