GEOID20,District
420350303003021,5
420990306014081,7
420990306021095,7
420990305011016,7
420990304001026,7
420990306014018,7
420990306014015,7
420990306014049,7
420990305022026,7
420990306013046,7
420035130002025,3
420035638006006,2
420034340001003,2
420034142001020,2
420076048002004,2
420076026013008,2
420076049021003,2
420076021002033,2
420076050011004,2
420076046003009,2
420990303015020,7
420990304003018,7
420990306011010,7
420990305021046,7
420990305022007,7
420990305024061,7
420990305024038,7
420990302024029,7
420076051004056,2
420076032022021,2
420076032023008,2
420076014003010,2
420076045002025,2
420076048003014,2
420076055004022,2
420076054003009,2
420076046001005,2
420990304002024,7
420990306022112,7
420990303022008,7
420990303023017,7
420990301003096,7
420990306022066,7
420076021001014,2
420076052001007,2
420076057002010,2
420076033002033,2
420076055004005,2
420076010001011,2
420076027011003,2
420076026022008,2
420076058002010,2
420076033002042,2
420076058001010,2
420076053001038,2
420076034002013,2
420076041002011,2
420076051003035,2
420030103022036,3
420034890012005,3
420035261021013,3
420034135002016,2
420035520001006,3
420031914002015,3
420034753013010,3
420034753012003,3
420034753044009,3
420034928002044,3
420034868002002,3
420031915001031,3
420670703002004,7
420076025001046,2
420076021001074,2
420076037003006,2
420076057003004,2
420076057003005,2
420034550001022,2
420034911013017,3
420034911013011,3
420035648002004,3
420030405001021,3
420035631001031,3
420032614001016,3
420031401001010,3
420034100001004,2
420035519001095,3
420035626002035,3
420031610001003,3
420034911011002,3
420034688001018,2
420034656001006,2
420035625001042,3
420076025001038,2
420076028003009,2
420076027011007,2
420076027023022,2
420076038031012,2
420076016002024,2
420076035001011,2
420035626002068,3
420035520002001,3
420035626001017,3
420034150012002,2
420034141014001,2
420035252002003,3
420034212003005,2
420010307001017,7
420010303002052,7
420010303002051,7
421179509002109,11
421179508003028,11
421179503003009,11
420670702012022,7
421179506001018,11
421179510002089,11
421179510001079,11
420670701012018,7
420670701012044,7
420670702024038,7
420670701012002,7
420670702012039,7
420034912001021,3
420034230002009,3
420034297001014,2
420032708002011,3
420034134003002,2
420031609001004,3
420034610001014,2
420034690002025,2
420031608001015,3
420031918003002,3
420032904002008,3
420035631002011,3
420034900023004,3
420035630002003,3
420030509001016,3
420030605001010,3
420034890012003,3
420030806001010,3
420031014001020,3
420031917001001,3
420035521001020,3
420035261012042,3
420035231001016,3
420034520003026,2
420035030021031,3
420034644002043,2
420031106003009,3
420034621001013,2
420010308011002,7
420010314022071,7
420010302001111,7
420010304003023,7
421179501004021,11
420550110004005,7
420550105023014,7
420550107013066,7
420550104012009,7
420550105011013,7
421279603002042,10
421279610023014,10
420010301041031,7
420010309011025,7
420010312013055,7
420010306003013,7
420010312022020,7
420010302001090,7
420010303002078,7
420010302002034,7
420010315023039,7
420010316005060,7
420010303001021,7
420010311012038,7
420010311012023,7
420010311011018,7
421139601011075,11
421139601023056,11
420670703001097,7
420670704002030,7
420670703001000,7
420659508002072,5
420659507001003,5
420659508002054,5
420659507003055,5
421179507004041,11
420550123003002,7
420550124002021,7
420550105011030,7
420293071001048,9
420293035021008,9
420670702021111,7
420311606005049,1
420730007002020,1
420730109003014,1
420730101001021,1
420730110002000,1
420730112001013,1
420730007002027,1
420730001002031,1
420730113001081,1
420730113002018,1
420730110001012,1
421179509004039,11
420311608001066,1
420311604001074,1
420311604001062,1
420311608003028,1
420311602022040,1
420619509001033,7
420619512004048,7
420619512001075,7
420010302002052,7
420010317001071,7
420010304003053,7
420550122002014,7
420550105012023,7
420550105023033,7
420550121003001,7
420550121003011,7
420550101001035,7
420619509002015,7
420619503011001,7
420619502003015,7
421179501004036,11
420110112003006,8
420110102011049,8
420110102011025,8
420110126002010,8
420110002003010,8
420110109051026,8
420010301042028,7
420010301042069,7
420010303001070,7
420010309011005,7
420010311012027,7
420010303001019,7
421279610022006,10
420550118003017,7
420550115001017,7
420550108001017,7
420550118003035,7
420550114001016,7
420550125011014,7
420550109001049,7
420550117013010,7
420659502003023,5
420659509002062,5
421279613001071,10
420311605003080,1
420659506001028,5
420311608002125,1
420311602022036,1
421314004002038,11
421314002003080,11
421314007002040,11
421314002003017,11
421314006001010,11
421279606002014,10
421279613001112,10
421279605004002,10
421279613002059,10
421279612021044,10
421279609004035,10
420792123003022,10
420792175002031,10
420792162002028,11
420792015001017,10
420792164002023,11
420792120002012,10
420792165023025,11
420792153003033,10
420792142002011,10
420792159002048,11
420550113012022,7
420550103022017,7
421279611011026,10
420311603003060,1
420659502003008,5
420659503005033,5
420792166011010,10
420792177003055,10
421010203001013,16
421010023001000,16
421010149002000,16
421010144004007,16
421010264001010,16
421010266001016,16
421010082006008,15
421010321002002,17
421010188022007,17
421010188013006,17
421010067003016,15
421010344002005,17
421010263021004,16
421010019003010,16
421019800021087,15
421010355001009,17
420311608002127,1
420311605003012,1
420311603001046,1
420311603002057,1
420311608003073,1
420311608002059,1
421010169023002,16
421010030013001,16
421010030014004,16
421010019001004,16
421010363011019,17
421010100002003,15
421010114001007,15
421010114006013,15
421010134023004,16
421010134023003,16
421010214003002,16
421010136012008,16
421010105002018,15
420110103042014,8
420110103043025,8
420110109031041,8
420110125001013,8
421010384001001,16
421010319001002,17
421010175006010,17
420730113001098,1
420730114002037,1
420792171002037,10
421010198003001,17
421010201023008,16
421010004011006,16
421010100001008,15
421010067004011,15
421019802001031,17
421010140003013,16
421010284001000,16
421010025001000,16
421010365011001,17
421010380002014,17
420792149001003,10
420792167002000,10
420792118002019,10
420792169001036,10
420792169001046,10
420792016003003,10
420792171002012,10
420792171002044,10
420792166021039,10
420792166021043,10
420410111013007,6
420410131033021,6
420730101001008,1
420730109002044,1
420730007001036,1
420730116003060,1
420792016001003,10
420792117013026,10
420792143002002,10
420792155011046,10
420792117011014,10
420792117011047,10
420792166021001,10
420792149002006,10
420792007002007,10
420792113021018,11
420032613002009,3
420032615001012,3
420032613002014,3
420031308001032,3
420034110011015,2
420034110022021,2
420034390001004,2
420031706002000,3
420039807001027,3
420035140002015,3
420031005002006,3
420035251001020,3
420031414004012,3
420034911012015,3
420034644002051,2
420792170021020,10
420619510001040,7
420619504003027,7
420619502001009,7
420619505003027,7
420619506002013,7
420619502002010,7
420035237021005,3
420031018002021,3
420035522001028,3
420035231004016,3
420035624003061,3
420032814001025,3
420034753042001,3
420034742021003,2
420031411001024,3
420034688003004,2
420034012001001,2
420034090014003,2
420035645001007,3
420031608001033,3
420034271002015,2
420579602002064,7
420619501002012,7
420730105003000,1
420730105002008,1
420730107002000,1
420730009002045,1
420730101004010,1
420293010012038,13
420293027061008,9
420293027051012,9
420293026001026,9
420293027063034,9
420293111001011,9
420293045042003,13
420034734023001,3
420032701001026,3
420034263003011,2
420730111004075,1
420730111002010,1
420730114001039,1
420730103001009,1
420535302001145,1
420730115001021,1
420730115003012,1
420730115004026,1
420730110004001,1
420730110001008,1
420730113003028,1
420730009002055,1
420730111004064,1
420730115002053,1
420730008002037,1
420730115001022,1
420792158002004,11
420792009002000,10
420792001001008,10
420792153003021,10
420792117012025,10
420792105001040,10
420792111011021,10
420792162005017,11
420792122003007,10
420792121004006,10
420792177002026,10
420034211002004,2
420035094005009,3
420311604001004,1
420311609003068,1
420311607011003,1
420311608002090,1
420311608002138,1
420659506003061,5
420659513002046,5
420659509004014,5
420311605003040,1
420311601042024,1
420659506003049,5
420659508001061,5
420659506001049,5
421010274012000,16
421314004001027,11
420579602002026,7
420293072001052,9
420792179003026,10
420792179004039,10
420792161003015,11
420792105002023,10
420792168001019,10
420792113012010,10
420792112045006,10
420792122001002,10
420792004001022,10
420792007003000,10
420792150001028,10
420792002001002,10
420311608001032,1
420311608002139,1
420311608002068,1
420311602012002,1
420311606004013,1
420659509002065,5
420659511004016,5
420659503001069,5
420750035003030,8
420750001004009,8
420750003001021,8
420750002001027,8
420750002004029,8
420750042002009,8
420750023002080,8
420750002002001,8
420750027012009,8
420750027012012,8
420750029001036,8
420750005001052,8
420750031003053,8
420750027013009,8
420750001002017,8
420792139001034,10
420792132002009,10
420792175001047,10
420792113042005,11
420099609004028,7
421139601022010,11
420659506001071,5
420659509002071,5
420792156001010,11
420619511002040,7
420619504001032,7
420099607004013,7
420099608004026,7
420099604004040,7
420099609001088,7
420099606001009,7
420099602001044,7
420099605002062,7
420099605002047,7
420293034022005,9
420619512002009,7
420619504004050,7
420619510001060,7
420619504001004,7
420099601002055,7
420099601001007,7
420099601002005,7
421179504004103,11
421179505003050,11
420293078002037,9
420293056002011,9
420293028022012,9
420619512001011,7
420619512001023,7
420619510003032,7
420619513002081,7
420619506002025,7
420770060021057,12
421059505001025,5
421059504021009,5
420293060005003,9
420293001074012,13
420293112002062,9
420293065032013,9
420293043003005,9
420293111001029,9
420579603002005,7
420410118062017,6
420410128021023,6
420293005012008,13
420293079002018,9
420293078002013,9
420293117021020,9
420293026002030,9
420293118001005,9
420099611004004,7
420099608004039,7
420099603001007,7
420792105001029,10
420410130001018,6
420410116063015,6
420410118032023,6
420293001061006,13
420293038043012,9
420293055001034,9
420293078001022,9
420293002012038,13
421139601011078,11
420792112041020,10
420792113011005,10
420792167002068,10
420792112011019,10
420619501001042,7
421010344003016,17
421010323003006,17
421010289022001,17
421010003001001,16
421010019002011,16
420770020002007,12
420770056024063,12
420770060021043,12
420770021002015,12
420792106001024,10
420792122005016,10
420792178001052,10
420792013001003,10
420792014001004,10
420792142001010,10
420792143001019,10
420792159001014,11
420792159001030,11
420792101001071,10
420792112013007,10
420792113021016,11
420792169001033,10
420792167002022,10
421139601021034,11
420792011001009,10
420792103001015,10
420792167002034,10
420792122003015,10
420792123003007,10
420792173003032,10
420792110004033,10
420792173002020,10
421010171003031,16
421010040013011,16
421010249004005,16
421010012011005,16
421010288001011,17
421139601011023,11
420792145002006,10
420893003151049,10
420893010021037,10
420893005022014,10
420099606001062,7
420099610011090,7
421059504021041,5
420619509003029,7
420619508003017,7
420619503013011,7
420619503012050,7
420792162003007,11
420792157021070,11
420792112052014,10
420792117011009,10
420792127004010,10
420792111013028,10
420792122002005,10
420792158001034,11
420110127021020,8
420110140001051,8
420350308003060,5
420350301001188,5
420350301002191,5
420350309001022,5
420350308002019,5
421179502001047,11
421179506003029,11
421179506003020,11
420099601002062,7
420099601001036,7
420099604002008,7
420099604002036,7
420792139001018,10
420350309002018,5
420350305004019,5
420350309001047,5
420350301001173,5
420350301002268,5
420350301001111,5
420350304001013,11
420350307016013,5
420110129022063,8
420110014003000,8
421179505002014,11
421010191001011,17
421010383011017,17
421010010022005,16
420293014012010,13
420293044042008,9
420293069001034,9
420293082002044,9
420293110005001,13
420293065041009,9
420293021032009,13
420293008001023,13
420893003131047,10
420893012073016,10
421010167012007,16
421010290001002,17
421010210001008,16
421010355002016,17
421010265004002,16
421010013023001,16
420410130003023,6
420410119012007,6
420792149002024,10
420792103001019,10
420792006001008,10
420792169001029,10
420792164001022,11
420792162001010,11
420792157021010,11
420792114002023,10
420792101001023,10
420792127002009,10
420792112011005,10
420792001002018,10
420792139002037,10
420792171003021,10
