GEOID20,District
42049001030,2
42049000200,2
42049000181,2
42049000161,2
42049000141,2
42049000410,3
42049999999,3
42049001130,3
42049000210,2
42049000260,2
42049000270,2
42049000520,2
42049000610,2
42049001100,2
42049001300,2
42049001290,2
42049000550,2
42049001200,4
42049001110,4
42049001325,4
42049001316,4
42049001305,4
42049001190,3
42049001180,3
42049001160,3
42049000360,3
42049000820,3
42049000740,3
42049000690,3
42049000460,2
42049000470,2
42049000480,2
42049000450,2
42049000350,3
42049000320,3
42049000760,3
42049001330,1
42049001350,1
42049001320,1
42049001340,1
42049000940,1
42049001430,1
42049001480,1
42049000930,1
42049000920,1
42049001000,1
42049001010,1
42049000970,1
42049000960,1
42049000950,1
42049000990,1
42049000980,1
42049001220,3
42049000340,3
42049000440,3
42049000430,3
42049000420,3
42049000310,3
42049000300,3
42049000380,3
42049000225,2
42049000370,3
42049000400,3
42049000390,3
42049000330,3
42049001230,3
42049001140,3
42049001240,3
42049001150,3
42049001260,3
42049001250,3
42049001170,3
42049000660,3
42049000250,2
42049000245,2
42049000280,2
42049000730,3
42049000720,3
42049000671,3
42049000490,2
42049001050,1
42049001040,1
42049000620,2
42049001520,1
42049001510,1
42049000510,2
42049000590,2
42049000630,2
42049000020,1
42049001400,1
42049001410,1
42049001420,1
42049000075,1
42049000060,1
42049000050,1
42049001492,1
42049000030,1
42049000120,1
42049001450,1
42049001060,1
42049001090,1
42049001470,1
42049000540,2
42049000580,2
42049000570,2
42049000500,2
42049000530,2
42049000650,2
42049000600,2
42049000560,2
42049000640,2
42049001280,4
42049001270,4
42049000800,3
42049001210,4
42049000770,3
42049000790,3
42049000700,3
42049000710,3
42049000780,3
42049000810,3
42049000750,3
42049001317,4
42049001125,4
42049001380,4
42049001390,4
42049001068,4
42049001072,4
42049001080,4
42049001460,4
42049001440,5
42049000110,5
42049000100,5
42049000880,5
42049000850,4
42049000860,4
42049000840,4
42049000830,4
42049000865,4
42049000902,4
42049000890,4
42049000910,4
42049001020,4
42049000898,4
42049001360,4
42049001370,4
42049000040,5
42049000090,5
42049000130,5
42049000010,5
42039000020,5
42039000420,5
42039000430,5
42039000120,5
42039000570,5
42039000060,6
42039000050,6
42039000580,5
42039000450,5
42039000110,5
42039000090,5
42039000180,5
42039000660,6
42039000670,6
42039000380,6
42039000460,5
42039000320,5
42039000200,5
42039000300,5
42039000370,5
42039000608,6
42039000590,6
42039000220,6
42039000640,6
42039000260,6
42039000280,6
42039000230,6
42039000630,6
42039000250,6
42039000210,6
42039000270,6
42039000240,6
42039000290,6
42039000150,6
42039000040,6
42085001030,5
42039000140,5
42039000620,5
42039000390,5
42039000650,5
42039000100,5
42039000170,6
42039000602,6
42039000400,6
42039000410,6
42039000360,6
42039000310,6
42039000470,6
42039000480,6
42039000520,6
42039000510,6
42039000500,6
