GEOID20,District
42001000400,12
42001000370,12
42001000030,12
42001000040,12
42001000010,12
42001000120,12
42001000290,12
42001000180,12
42001000170,12
42001000432,12
42001000410,12
42001000385,12
42001000440,12
42001000390,12
42001000200,12
42001000460,12
42001000240,12
42001000078,12
42001000320,12
42001000360,12
42001000350,12
42001000270,12
42001000434,12
42001000100,12
42001000090,12
42001000060,12
42001000150,12
42001000310,12
42001000260,12
42001000450,12
42001000140,12
42001000380,12
42001000110,12
42001000130,12
42001000050,12
42001000070,12
42001000340,12
42001000436,12
42001000427,12
42001000425,12
42001000190,12
42001000480,12
42001000082,12
42001000210,12
42001000230,12
42001000280,12
42001000160,12
42001000490,12
42001000330,12
42001000020,12
42003005041,14
42003005030,14
42003000430,15
42003000411,15
42003002571,15
42003002581,15
42003002631,15
42003005880,14
42003005870,14
42003006090,14
4200300E010,14
4200300E000,14
4200300E020,14
4200300D980,14
4200300E140,14
4200300E145,14
4200300E135,14
42003003360,15
42003003370,15
42003003260,15
42003003240,15
42003003290,15
42003003700,14
42003003710,14
4200300B030,14
4200300B010,14
4200300B110,14
42003000452,14
42003000446,14
42003000551,14
42003000562,14
42003000441,14
42003000472,14
42003000461,14
42003000466,14
42003001200,14
42003001220,14
42003001190,14
42003001210,14
42003001240,14
42003001740,14
42003001750,14
42003001710,14
4200300B130,14
4200300B580,14
4200300A740,14
4200300B070,14
4200300A680,14
42003005291,15
42003005301,15
42003003000,14
42003003051,14
42003003080,14
4200300H091,14
4200300H121,14
42003006390,14
42003006350,14
42003006210,14
42003006170,14
4200300B600,14
4200300D180,14
4200300B640,14
4200300B840,14
4200300C440,14
4200300C560,14
4200300C580,14
4200300C660,14
4200300C420,14
42003009130,14
42003009250,14
42003009230,14
42003009190,14
42003009110,14
42003009820,14
42003000770,15
42003003570,14
42003003820,14
42003003620,14
42003003770,14
42003003630,14
42003003640,14
42003003650,14
42003003810,14
4200300B660,14
4200300B620,14
4200300A870,14
4200300B700,14
4200300B720,14
4200300A350,14
4200300A330,14
4200300A375,14
4200300A390,14
4200300A415,14
4200300A250,14
42003003070,14
42003000950,15
42003001451,14
42003001471,14
4200300D070,14
4200300D300,14
4200300B740,14
4200300B760,14
4200300B780,14
4200300B800,14
42003003720,14
42003002920,15
42003002940,15
42003002910,15
42003002640,15
42003002550,15
42003002620,15
42003005370,14
42003005241,15
42003003021,14
42003003010,14
42003003060,14
42003003031,14
42003000050,15
42003000021,15
4200300E685,15
4200300E675,15
4200300E645,15
4200300C860,14
4200300C990,14
4200300C940,14
4200300C980,14
42003003440,15
42003003410,15
42003003430,15
4200300A210,14
4200300A230,14
42003004940,15
42003004920,15
42003004930,15
42003002501,14
42003002491,14
4200300A290,14
4200300A270,14
4200300A580,14
4200300A310,14
4200300B390,14
4200300B430,14
4200300D420,14
4200300D440,14
4200300D400,14
4200300D380,14
4200300D200,14
4200300D220,14
4200300D160,14
4200300F510,14
4200300F490,14
4200300F520,14
4200300F529,14
42003006500,14
42003006920,14
42003006460,14
42003006540,14
42003006440,14
42003005940,14
42003006520,14
42003006860,14
42003006900,14
42003007390,14
42003007490,14
42003007410,14
42003007350,14
42003007890,14
42003007870,14
42003008260,14
42003007830,14
42003007950,14
42003007910,14
4200300B520,14
4200300B500,14
4200300B510,14
4200300B490,14
42003003580,14
42003003600,14
42003003670,14
4200300E050,14
4200300E045,14
4200300E040,14
4200300E130,14
42003005400,14
42003005770,14
42003005440,14
42003005410,14
42003002190,15
42003002180,15
4200300G670,14
4200300G690,14
42003003491,14
42003003460,14
42003003511,14
42003008340,14
42003008320,14
4200300F641,14
4200300F661,14
4200300C810,14
4200300C790,14
4200300C740,14
4200300C720,14
4200300C600,14
4200300C540,14
42003009010,14
42003008990,14
42003008910,14
42003008970,14
42003008950,14
42003008930,14
42003003225,15
42003003233,15
42003003232,15
42003003237,15
42003000310,15
4200300A600,14
4200300A840,14
4200300A930,14
4200300A480,14
4200300A950,14
4200300E210,14
4200300E230,14
4200300E220,14
42003008030,14
42003008010,14
42003007970,14
42003007990,14
42003005310,14
42003005341,14
42003005351,14
42003005321,14
42003009710,14
42003009840,14
42003009670,14
42003009590,14
42003005721,14
42003005683,14
42003005680,14
42003005660,14
42003006715,14
42003007810,14
42003006685,14
42003003870,16
42003003880,16
42003005430,14
42003005420,14
4200300A720,14
4200300A700,14
4200300A760,14
4200300D280,14
4200300B680,14
4200300D260,14
42003000624,14
42003000625,14
4200300G170,15
4200300G171,15
4200300G160,15
42003009630,14
42003009650,14
42003009470,14
42003000930,15
42003000920,15
42003002770,15
42003002710,15
42003002730,15
42003005812,15
4200300F241,15
4200300F210,15
4200300F220,15
42003004510,14
42003004560,14
42003004520,14
4200300C900,14
4200300C920,14
4200300C880,14
4200300F270,15
4200300F281,15
4200300F260,15
4200300F201,15
42003005191,15
42003005281,15
42003005181,15
42003005271,15
4200300G041,14
4200300G011,14
4200300G082,15
4200300G080,15
4200300G070,15
42003007450,14
42003003551,14
42003003471,14
42003003540,14
42003002160,15
42003002170,15
4200300G210,14
4200300G220,14
4200300D580,14
4200300D600,14
4200300A170,14
4200300A100,14
4200300A080,14
4200300A130,14
4200300A060,14
42003009880,14
4200300E366,15
4200300E376,15
4200300C680,14
4200300C700,14
4200300C240,14
4200300G710,14
4200300G720,14
42003000720,14
42003000721,14
42003000711,14
4200300F921,15
4200300F950,15
42003003300,15
42003003340,15
42003003310,15
4200300F415,15
4200300F435,15
4200300B900,14
4200300B880,14
42003000281,14
42003000221,14
42003000522,14
4200300D460,14
4200300D850,14
42003001322,15
42003001326,15
4200300F620,14
4200300F630,14
42003009960,14
42003008090,14
42003008100,14
42003000381,15
42003000371,15
42003000361,15
4200300E342,15
4200300E356,15
42003007660,14
42003007640,14
4200300E810,15
4200300E891,15
4200300E815,15
4200300E120,14
4200300E075,14
4200300E080,14
4200300B820,14
42003006620,14
42003006660,14
42003006580,14
42003006600,14
42003006560,14
42003002510,14
42003001390,15
42003001400,15
42003001351,15
42003001440,14
42003001411,14
42003001420,14
4200300B410,14
4200300A970,14
42003004241,15
42003004330,15
42003004251,15
42003005470,14
42003005460,14
4200300G852,14
4200300G750,14
4200300G854,14
4200300G856,14
42003001850,14
42003001860,14
42003002371,15
42003002352,15
42003002350,15
42003002351,15
4200300G341,14
4200300G370,14
4200300G360,14
42003005480,14
42003002200,15
42003000111,15
42003000061,15
42003000121,15
4200300C070,14
4200300C040,14
4200300G140,15
4200300G130,15
4200300G150,15
4200300G190,15
42003000081,15
42003009570,14
4200300A120,14
4200300A150,14
4200300A000,14
42003006400,14
42003006110,14
42003005091,15
42003005060,15
4200300H155,14
4200300G400,14
4200300G410,14
4200300G520,14
4200300D140,14
42003003680,14
4200300F180,15
4200300F202,15
42003004271,15
42003004281,15
42003004245,15
42003004331,15
42003004301,15
42003000980,15
42003000961,15
42003000990,15
42003001000,15
42003005780,15
42003004540,14
42003004580,14
42003004590,14
42003004550,14
4200300D620,14
4200300D640,14
42003009350,14
42003009370,14
42003006370,14
4200300C080,14
4200300D340,14
4200300D520,14
42003004741,14
42003006870,14
42003005920,14
42003008890,14
42003008830,14
42003008850,14
42003008770,14
42003008810,14
42003008790,14
42003008570,14
42003003850,14
42003003910,14
42003003860,14
42003003930,14
42003002025,16
42003001990,16
4200300G910,14
42003008360,14
42003008430,14
42003007930,14
4200300E090,14
4200300E100,14
42003000301,14
4200300H011,14
4200300F970,16
42003002131,15
42003002111,15
42003000400,15
4200300G291,15
4200300G311,15
4200300F940,15
42003003840,14
4200300F530,16
42003002011,16
42003001998,16
42003000291,14
42003004600,14
42003009730,14
4200300G790,14
4200300G780,14
42003005001,14
42003004991,14
42003004960,14
42003004850,14
42003004830,14
42003004840,14
42003006665,14
4200300G645,15
4200300G611,15
4200300G640,15
4200300C050,14
4200300C360,14
4200300C380,14
4200300C400,14
42003001880,14
42003001890,14
42003001901,14
4200300G960,14
4200300G970,14
42003004110,14
42003001870,14
42003002035,16
42003001981,16
42003002043,16
42003003161,15
4200300F610,14
4200300F720,14
42003001170,14
42003001160,14
42003001180,14
42003001150,14
4200300H070,14
4200300H080,14
42003007100,14
42003007140,14
42003007060,14
42003007120,14
42003007180,14
42003008280,14
42003004400,14
42003002821,14
42003002851,14
42003002830,14
42003001490,14
42003004570,14
42003004530,14
42003002680,15
42003002700,15
42003009530,14
42003009490,14
42003009510,14
42003009940,14
4200300G680,14
4200300G700,14
42003002521,14
4200300E735,15
4200300E565,15
4200300E595,15
42003003780,14
42003003800,14
4200300G030,14
4200300G000,14
4200300G931,14
42003004371,14
42003004380,14
4200300F760,14
4200300F750,14
4200300F770,14
42003006675,14
4200300C140,14
4200300C160,14
4200300C220,14
4200300C120,14
4200300C480,14
4200300E320,15
4200300E330,15
4200300C750,14
42003007560,14
42003007580,14
42003008610,14
42003008590,14
4200300C280,14
4200300C320,14
42003001700,14
42003001690,14
42003004721,14
42003004650,14
42003004670,14
42003001381,15
42003001371,15
42003001921,14
4200300B330,14
4200300B310,14
4200300A040,14
42003001091,15
42003001101,15
4200300E332,15
4200300E333,15
4200300E331,15
42003002370,15
42003004200,14
42003004220,14
42003004090,14
42003004210,14
4200300G550,14
4200300G440,14
4200300G450,14
4200300G460,14
4200300G500,14
4200300A540,14
4200300A500,14
42003004180,14
42003003975,14
42003004191,14
42003004170,14
4200300F891,15
4200300F900,15
4200300F010,15
42003008200,14
42003009290,14
42003008690,14
42003008730,14
42003008720,14
42003008710,14
4200300E334,15
42003003221,15
42003003236,15
4200300E181,16
4200300E151,16
42003000351,15
42003009790,14
42003009800,14
42003009760,14
42003006760,14
42003006640,14
42003006780,14
42003003900,14
42003003920,14
4200300B370,14
4200300B350,14
42003004410,14
42003004730,14
4200300E841,15
4200300E850,15
4200300E980,15
42003001580,14
42003001590,14
42003009430,14
4200300E635,15
4200300F020,15
4200300F041,15
4200300F030,15
42003002660,15
42003002670,15
42003002650,15
42003009450,14
42003009390,14
