GEOID20,District
42001000400,50
42001000370,49
42001000030,49
42001000040,50
42001000010,50
42001000120,50
42001000290,49
42001000180,49
42001000170,49
42001000432,50
42001000410,50
42001000385,50
42001000440,50
42001000390,50
42001000200,50
42001000460,49
42001000240,50
42001000078,49
42001000320,49
42001000360,50
42001000350,50
42001000270,49
42001000434,50
42001000100,50
42001000090,50
42001000060,50
42001000150,50
42001000310,49
42001000260,50
42001000450,50
42001000140,50
42001000380,50
42001000110,50
42001000130,50
42001000050,49
42001000070,49
42001000340,50
42001000436,50
42001000427,50
42001000425,50
42001000190,50
42001000480,50
42001000082,49
42001000210,50
42001000230,50
42001000280,49
42001000160,49
42001000490,49
42001000330,50
42001000020,49
42003005041,40
42003005030,40
42003000430,38
42003000411,38
42003002571,38
42003002581,38
42003002631,38
42003005880,41
42003005870,41
42003006090,41
4200300E010,41
4200300E000,40
4200300E020,40
4200300D980,41
4200300E140,42
4200300E145,42
4200300E135,42
42003003360,38
42003003370,38
42003003260,38
42003003240,38
42003003290,38
42003003700,40
42003003710,40
4200300B030,41
4200300B010,41
4200300B110,41
42003000452,40
42003000446,40
42003000551,40
42003000562,40
42003000441,40
42003000472,40
42003000461,40
42003000466,40
42003001200,40
42003001220,40
42003001190,40
42003001210,40
42003001240,40
42003001740,40
42003001750,40
42003001710,40
4200300B130,41
4200300B580,41
4200300A740,41
4200300B070,41
4200300A680,41
42003005291,39
42003005301,39
42003003000,40
42003003051,40
42003003080,40
4200300H091,40
4200300H121,40
42003006390,41
42003006350,41
42003006210,42
42003006170,41
4200300B600,39
4200300D180,39
4200300B640,39
4200300B840,39
4200300C440,39
4200300C560,39
4200300C580,39
4200300C660,39
4200300C420,39
42003009130,41
42003009250,41
42003009230,41
42003009190,41
42003009110,42
42003009820,41
42003000770,37
42003003570,40
42003003820,40
42003003620,40
42003003770,40
42003003630,40
42003003640,40
42003003650,40
42003003810,40
4200300B660,39
4200300B620,39
4200300A870,41
4200300B700,39
4200300B720,39
4200300A350,41
4200300A330,41
4200300A375,41
4200300A390,41
4200300A415,41
4200300A250,41
42003003070,40
42003000950,39
42003001451,39
42003001471,39
4200300D070,39
4200300D300,39
4200300B740,39
4200300B760,39
4200300B780,39
4200300B800,39
42003003720,40
42003002920,38
42003002940,38
42003002910,38
42003002640,38
42003002550,38
42003002620,38
42003005370,42
42003005241,38
42003003021,40
42003003010,40
42003003060,40
42003003031,40
42003000050,38
42003000021,38
4200300E685,38
4200300E675,38
4200300E645,39
4200300C860,39
4200300C990,39
4200300C940,39
4200300C980,39
42003003440,38
42003003410,38
42003003430,38
4200300A210,41
4200300A230,41
42003004940,39
42003004920,39
42003004930,39
42003002501,39
42003002491,39
4200300A290,41
4200300A270,41
4200300A580,41
4200300A310,41
4200300B390,41
4200300B430,41
4200300D420,41
4200300D440,41
4200300D400,41
4200300D380,41
4200300D200,39
4200300D220,39
4200300D160,39
4200300F510,40
4200300F490,40
4200300F520,40
4200300F529,40
42003006500,42
42003006920,42
42003006460,42
42003006540,42
42003006440,42
42003005940,42
42003006520,42
42003006860,42
42003006900,42
42003007390,42
42003007490,42
42003007410,42
42003007350,42
42003007890,42
42003007870,42
42003008260,42
42003007830,42
42003007950,42
42003007910,42
4200300B520,41
4200300B500,41
4200300B510,41
4200300B490,41
42003003580,40
42003003600,40
42003003670,40
4200300E050,42
4200300E045,42
4200300E040,42
4200300E130,42
42003005400,42
42003005770,42
42003005440,42
42003005410,42
42003002190,39
42003002180,39
4200300G670,40
4200300G690,40
42003003491,39
42003003460,39
42003003511,39
42003008340,42
42003008320,42
4200300F641,39
4200300F661,39
4200300C810,39
4200300C790,39
4200300C740,39
4200300C720,39
4200300C600,39
4200300C540,39
42003009010,42
42003008990,42
42003008910,42
42003008970,42
42003008950,42
42003008930,42
42003003225,37
42003003233,37
42003003232,37
42003003237,37
42003000310,38
4200300A600,41
4200300A840,41
4200300A930,41
4200300A480,41
4200300A950,41
4200300E210,40
4200300E230,40
4200300E220,40
42003008030,42
42003008010,42
42003007970,42
42003007990,42
42003005310,42
42003005341,42
42003005351,42
42003005321,42
42003009710,41
42003009840,41
42003009670,41
42003009590,41
42003005721,42
42003005683,42
42003005680,42
42003005660,42
42003006715,42
42003007810,42
42003006685,42
42003003870,40
42003003880,40
42003005430,42
42003005420,42
4200300A720,41
4200300A700,41
4200300A760,41
4200300D280,39
4200300B680,39
4200300D260,39
42003000624,40
42003000625,40
4200300G170,39
4200300G171,39
4200300G160,39
42003009630,40
42003009650,40
42003009470,40
42003000930,39
42003000920,39
42003002770,38
42003002710,38
42003002730,38
42003005812,38
4200300F241,38
4200300F210,38
4200300F220,38
42003004510,41
42003004560,41
42003004520,41
4200300C900,39
4200300C920,39
4200300C880,39
4200300F270,38
4200300F281,38
4200300F260,38
4200300F201,38
42003005191,38
42003005281,38
42003005181,38
42003005271,38
4200300G041,40
4200300G011,40
4200300G082,39
4200300G080,39
4200300G070,39
42003007450,42
42003003551,39
42003003471,39
42003003540,39
42003002160,37
42003002170,37
4200300G210,42
4200300G220,42
4200300D580,41
4200300D600,41
4200300A170,41
4200300A100,41
4200300A080,41
4200300A130,41
4200300A060,41
42003009880,41
4200300E366,39
4200300E376,39
4200300C680,39
4200300C700,39
4200300C240,39
4200300G710,40
4200300G720,40
42003000720,40
42003000721,40
42003000711,40
4200300F921,38
4200300F950,38
42003003300,38
42003003340,38
42003003310,38
4200300F415,39
4200300F435,39
4200300B900,39
4200300B880,39
42003000281,41
42003000221,41
42003000522,40
4200300D460,41
4200300D850,41
42003001322,39
42003001326,39
4200300F620,39
4200300F630,39
42003009960,41
42003008090,42
42003008100,42
42003000381,38
42003000371,38
42003000361,38
4200300E342,39
4200300E356,39
42003007660,42
42003007640,42
4200300E810,39
4200300E891,39
4200300E815,39
4200300E120,42
4200300E075,42
4200300E080,42
4200300B820,39
42003006620,42
42003006660,42
42003006580,42
42003006600,42
42003006560,42
42003002510,39
42003001390,39
42003001400,39
42003001351,39
42003001440,39
42003001411,39
42003001420,39
4200300B410,41
4200300A970,41
42003004241,39
42003004330,39
42003004251,39
42003005470,40
42003005460,40
4200300G852,41
4200300G750,41
4200300G854,41
4200300G856,41
42003001850,40
42003001860,40
42003002371,38
42003002352,38
42003002350,38
42003002351,38
4200300G341,41
4200300G370,41
4200300G360,41
42003005480,40
42003002200,39
42003000111,38
42003000061,38
42003000121,38
4200300C070,39
4200300C040,39
4200300G140,39
4200300G130,39
4200300G150,39
4200300G190,39
42003000081,38
42003009570,41
4200300A120,41
4200300A150,41
4200300A000,41
42003006400,41
42003006110,41
42003005091,39
42003005060,39
4200300H155,40
4200300G400,41
4200300G410,41
4200300G520,41
4200300D140,39
42003003680,40
4200300F180,38
4200300F202,38
42003004271,39
42003004281,39
42003004245,39
42003004331,39
42003004301,39
42003000980,39
42003000961,39
42003000990,39
42003001000,39
42003005780,39
42003004540,41
42003004580,41
42003004590,41
42003004550,41
4200300D620,41
4200300D640,41
42003009350,42
42003009370,42
42003006370,41
4200300C080,39
4200300D340,41
4200300D520,41
42003004741,41
42003006870,42
42003005920,41
42003008890,42
42003008830,42
42003008850,42
42003008770,42
42003008810,42
42003008790,42
42003008570,42
42003003850,40
42003003910,40
42003003860,40
42003003930,40
42003002025,40
42003001990,40
4200300G910,40
42003008360,42
42003008430,42
42003007930,42
4200300E090,42
4200300E100,42
42003000301,41
4200300H011,40
4200300F970,40
42003002131,38
42003002111,38
42003000400,38
4200300G291,38
4200300G311,37
4200300F940,38
42003003840,40
4200300F530,40
42003002011,40
42003001998,40
42003000291,41
42003004600,41
42003009730,41
4200300G790,41
4200300G780,41
42003005001,40
42003004991,40
42003004960,40
42003004850,41
42003004830,41
42003004840,41
42003006665,42
4200300G645,38
4200300G611,38
4200300G640,38
4200300C050,39
4200300C360,39
4200300C380,39
4200300C400,39
42003001880,40
42003001890,40
42003001901,40
4200300G960,40
4200300G970,40
42003004110,40
42003001870,40
42003002035,40
42003001981,40
42003002043,40
42003003161,38
4200300F610,39
4200300F720,39
42003001170,40
42003001160,40
42003001180,40
42003001150,40
4200300H070,40
4200300H080,40
42003007100,42
42003007140,42
42003007060,42
42003007120,42
42003007180,42
42003008280,42
42003004400,41
42003002821,41
42003002851,41
42003002830,41
42003001490,39
42003004570,41
42003004530,41
42003002680,38
42003002700,38
42003009530,41
42003009490,41
42003009510,41
42003009940,41
4200300G680,40
4200300G700,40
42003002521,39
4200300E735,38
4200300E565,38
4200300E595,38
42003003780,40
42003003800,40
4200300G030,40
4200300G000,40
4200300G931,40
42003004371,41
42003004380,41
4200300F760,40
4200300F750,40
4200300F770,40
42003006675,42
4200300C140,39
4200300C160,39
4200300C220,39
4200300C120,39
4200300C480,39
4200300E320,38
4200300E330,38
4200300C750,39
42003007560,42
42003007580,42
42003008610,42
42003008590,42
4200300C280,39
4200300C320,39
42003001700,40
42003001690,40
42003004721,41
42003004650,41
42003004670,41
42003001381,39
42003001371,39
42003001921,40
4200300B330,41
4200300B310,41
4200300A040,41
42003001091,38
42003001101,38
4200300E332,38
4200300E333,38
4200300E331,38
42003002370,38
42003004200,42
42003004220,40
42003004090,42
42003004210,42
4200300G550,40
4200300G440,40
4200300G450,40
4200300G460,40
4200300G500,40
4200300A540,41
4200300A500,41
42003004180,40
42003003975,40
42003004191,40
42003004170,40
4200300F891,38
4200300F900,38
4200300F010,38
42003008200,42
42003009290,42
42003008690,42
42003008730,42
42003008720,42
42003008710,42
4200300E334,37
42003003221,37
42003003236,37
4200300E181,40
4200300E151,40
42003000351,38
42003009790,41
42003009800,41
42003009760,41
42003006760,42
42003006640,42
42003006780,41
42003003900,40
42003003920,40
4200300B370,41
4200300B350,41
42003004410,41
42003004730,41
4200300E841,39
4200300E850,39
4200300E980,39
42003001580,41
42003001590,41
42003009430,42
4200300E635,38
4200300F020,38
4200300F041,38
4200300F030,38
42003002660,38
42003002670,38
42003002650,38
42003009450,40
42003009390,40
42003005788,37
42003005791,37
42003005805,38
42003004880,41
42003004800,41
4200300E605,38
42003002630,38
42003002641,38
42003002560,38
42003002780,38
42003002760,38
42003005601,42
42003005600,42
42003005602,42
4200300A020,41
42003009980,41
4200300H135,40
4200300E901,39
4200300E780,39
4200300E791,39
42003001021,41
42003001068,41
42003001011,41
4200300G840,41
4200300G810,41
42003000542,40
42003000596,40
42003000602,40
4200300F464,40
4200300F462,40
4200300F526,40
4200300C770,39
42003006680,42
42003006480,42
42003006700,42
42003002022,40
42003002032,40
42003002010,40
42003002950,38
42003005331,42
42003003790,40
42003007160,42
42003007040,42
4200300F110,38
4200300F120,38
4200300F130,38
4200300G260,40
42003005131,40
42003005130,40
4200300G390,41
4200300G430,41
4200300G420,41
4200300G380,41
4200300E585,38
4200300E575,38
42003004020,40
42003004050,40
42003004160,40
42003004040,40
42003005821,40
42003005840,40
42003001510,39
42003001500,39
4200300F437,39
4200300F398,39
4200300F445,39
42003001324,39
42003006880,42
42003007270,42
42003007680,42
4200300B980,39
4200300D090,39
4200300D360,41
42003005722,42
42003005740,42
42003005710,42
42003000511,40
42003003940,40
42003000851,41
42003000841,41
4200300C260,39
4200300C840,39
4200300C300,39
42003005101,40
42003002961,39
42003007330,42
42003007310,42
42003008550,42
42003008530,42
42003008470,42
42003003450,39
42003009070,40
42003009050,42
42003009090,40
42003009030,42
4200300C830,39
42003005261,38
4200300G323,38
4200300G271,37
4200300G325,37
4200300G850,41
4200300G820,41
4200300D690,41
4200300D770,40
4200300D810,41
4200300D710,41
42003004860,41
4200300D310,39
4200300D320,39
4200300A190,41
4200300D730,40
4200300D790,40
4200300E725,38
4200300E475,38
4200300E745,38
42003003101,39
42003003135,39
4200300G760,41
4200300G770,41
42003001831,38
42003001811,38
4200300G470,40
4200300G580,41
4200300G480,40
4200300G540,40
42003003530,39
42003004451,41
42003004440,41
42003004430,41
42003004420,41
42003004100,42
42003004130,42
42003004120,40
4200300G940,40
4200300H101,40
4200300G110,39
4200300G090,39
4200300G081,39
4200300G120,39
42003000530,40
42003000501,40
42003002100,38
42003002090,38
42003007080,42
42003008120,42
