GEOID20,District
42101000101,6
42101000102,6
42101000103,6
42101000104,6
42101000105,6
42101000106,6
42101000107,6
42101000108,6
42101000109,6
42101000110,6
42101000111,6
42101000112,6
42101000113,6
42101000114,6
42101000115,6
42101000116,6
42101000117,6
42101000118,6
42101000119,6
42101000120,6
42101000121,6
42101000201,6
42101000202,6
42101000203,6
42101000204,6
42101000205,6
42101000206,6
42101000207,6
42101000208,6
42101000209,6
42101000210,6
42101000211,6
42101000212,6
42101000213,6
42101000214,6
42101000217,6
42101000218,6
42101000219,6
42101000220,6
42101000221,6
42101000222,6
42101000223,6
42101000224,6
42101000228,6
42101000229,6
42101000230,6
42101000231,6
42101000232,6
42101000233,6
42101000234,6
42101000301,1
42101000302,7
42101000303,7
42101000304,7
42101000305,7
42101000306,7
42101000307,1
42101000308,7
42101000309,7
42101000310,7
42101000311,7
42101000312,7
42101000313,7
42101000314,7
42101000315,1
42101000316,1
42101000317,1
42101000318,1
42101000319,7
42101000320,1
42101000321,1
42101000322,1
42101000401,1
42101000402,1
42101000403,1
42101000404,1
42101000405,1
42101000406,1
42101000407,1
42101000408,1
42101000409,1
42101000410,1
42101000411,1
42101000412,1
42101000413,1
42101000414,1
42101000415,1
42101000416,1
42101000417,1
42101000418,1
42101000419,1
42101000420,1
42101000421,1
42101000502,6
42101000503,6
42101000504,6
42101000505,6
42101000506,6
42101000507,6
42101000508,6
42101000511,6
42101000514,6
42101000515,6
42101000518,6
42101000519,6
42101000520,5
42101000522,6
42101000523,6
42101000568,6
42101000570,6
42101000571,6
42101000572,6
42101000573,6
42101000574,6
42101000575,6
42101000576,6
42101000577,6
42101000601,1
42101000602,1
42101000603,1
42101000604,1
42101000605,1
42101000606,1
42101000607,1
42101000608,1
42101000609,1
42101000610,1
42101000611,1
42101000612,1
42101000613,1
42101000614,1
42101000615,1
42101000616,1
42101000617,1
42101000618,1
42101000701,5
42101000702,5
42101000703,5
42101000704,5
42101000705,5
42101000706,5
42101000707,5
42101000708,5
42101000709,5
42101000710,3
42101000711,5
42101000712,5
42101000713,5
42101000714,5
42101000715,5
42101000716,5
42101000717,5
42101000718,5
42101000719,5
42101000720,5
42101000721,5
42101000722,5
42101000723,5
42101000801,6
42101000802,6
42101000803,6
42101000804,6
42101000806,6
42101000807,6
42101000808,6
42101000809,6
42101000810,6
42101000811,6
42101000812,6
42101000813,6
42101000816,6
42101000817,6
42101000818,6
42101000821,6
42101000825,6
42101000827,6
42101000828,6
